"Persecution of Partners in Intermarriages","ehri_terms",582
"קבורה בחיים","ehri_terms",56
"בעלות הברית","ehri_terms",1029
"תקופה שלפני המלחמה","ehri_terms",1347
"Prisons","ehri_terms",669
"חיילים ארץ ישראלים","ehri_terms",884
"Living conditions","ehri_terms",831
"Deportation from Latvia","ehri_terms",518
"Evangelical church","ehri_terms",771
"Attitude of the German population","ehri_terms",813
"Escape from Nazi occupied territory","ehri_terms",204
"קבורה","ehri_terms",746
"בית בושת","ehri_terms",839
"Labor camps","ehri_terms",508
"גדודי עבודה","ehri_terms",560
"Soldiers of Jewish descent in the Wehrmacht","ehri_terms",884
"Persecution of the Jews of the Russian Federation","ehri_terms",642
"עינויים","ehri_terms",562
"יחס ליהודים - פולין ואוכלוסייה פולנית","ehri_terms",815
"Confiscation of Jewish property","ehri_terms",585
"יחס ליהודים - רומניה ואוכלוסייה רומנית","ehri_terms",815
"קרנות","ehri_terms",935
"Help to Jews - non Jews","ehri_terms",297
"הגנה נגד האנטישמיות - גרמניה","ehri_terms",329
"Soviet labor camps","ehri_terms",508
"יחס ליהודים - אוכלוסייה בלורוסית","ehri_terms",815
"בתי תמחוי","ehri_terms",855
"אנטישמיות - פולין","ehri_terms",329
"תקופה שאחרי המלחמה","ehri_terms",1220
"Theft of Jewish property","ehri_terms",660
"בתי ילדים","ehri_terms",315
"Property","ehri_terms",945
"Anti-Nazi activity","ehri_terms",178
"פרטיזנים צרפתים","ehri_terms",1215
"פצצות","ehri_terms",1083
"פושעי מלחמה","ehri_terms",1218
"בנקים יהודיים","ehri_terms",891
"Daily life","ehri_terms",809
"Converts","ehri_terms",801
"מגורשים מסלובקיה","ehri_terms",519
"הלשנה","ehri_terms",1137
"Slovakian soldiers","ehri_terms",1097
"אמנים","ehri_terms",677
"רדיפות בני תערובת (Mischlinge)","ehri_terms",581
"ספרים - למחיקה","ehri_terms",683
"מוסדות בריאות","ehri_terms",281
"American soldiers","ehri_terms",1097
"Antisemitism - Hungary","ehri_terms",329
"Jewish musicians","ehri_terms",693
"רפואה","ehri_terms",285
"Lithuanian collaborators","ehri_terms",223
"Trials of Jews - Nazi Germany","ehri_terms",1130
"Romania - Antisemitism before the war","ehri_terms",329
"חקלאות","ehri_terms",932
"Marriage certificates","ehri_terms",1139
"יחס האוכלוסייה - רוסים","ehri_terms",813
"Jewish physicians","ehri_terms",1427
"התנגדות רוחנית","ehri_terms",250
"רדיפות יהודי לטביה","ehri_terms",642
"Attitude towards the Jews - Norway and the Norwegian population","ehri_terms",815
"פקודות","ehri_terms",951
"בריחה מרכבת","ehri_terms",204
"Educational institutions","ehri_terms",1132
"Disabled persons","ehri_terms",326
"Dysentery","ehri_terms",494
"יחס ליהודים - יוגוסלביה ואוכלוסייה יוגוסלבית","ehri_terms",815
"מכתבים","ehri_terms",843
"Anti-Nazi demonstrations","ehri_terms",179
"Immigrant ships","ehri_terms",301
"יהודי הולנד - שילוחים","ehri_terms",518
"מחונות עקורים","ehri_terms",278
"Police iInvestigation","ehri_terms",1121
"Attitude towards Jews - Austria and the Austrian population","ehri_terms",815
"Espionage","ehri_terms",1163
"Hiding place","ehri_terms",265
"משתפי פעולה בלורוסים","ehri_terms",223
"רעב","ehri_terms",569
"Concentration Camps - Germany","ehri_terms",496
"מדע נאצי","ehri_terms",781
"Deportation to Austria","ehri_terms",518
"משפטי פושעים נאצים","ehri_terms",1130
"פליטים בזמן המלחמה","ehri_terms",304
"Nazi indoctrination","ehri_terms",367
"Catholic Church","ehri_terms",767
"Attitude towards the Jews - Italy and the Italian population","ehri_terms",815
"ריגול","ehri_terms",1163
"Deportation of the Jews of the Protectorate","ehri_terms",518
"ביזות","ehri_terms",655
"חקיקה אנטי-יהודית - קרואטיה","ehri_terms",335
"Persecution of the Jews of Norway","ehri_terms",642
"רדיפות יהודי יוון","ehri_terms",642
"POW camp","ehri_terms",510
"גירוש להולנד","ehri_terms",518
"רדיפות יהודי איטליה","ehri_terms",642
"רדיפות יהודי אוסטריה","ehri_terms",642
"Deportation from Ukraine","ehri_terms",518
"Jewish artists","ehri_terms",678
"סיפוח טריטוריאלי","ehri_terms",1041
"Military forced labor battalions","ehri_terms",518
"גירוש פולנים","ehri_terms",518
"עזרה והצלה","ehri_terms",296
"סופרים ומשוררים יהודים - גרמניה","ehri_terms",682
"אונס","ehri_terms",606
"ספריות","ehri_terms",706
"Belorussian collaborators","ehri_terms",223
"Religion","ehri_terms",724
"Hiding by Poles","ehri_terms",262
"רופאים","ehri_terms",287
"סרטיפיקט","ehri_terms",1137
"brothel","ehri_terms",839
"אווקואציה","ehri_terms",623
"הגבלות תנועה","ehri_terms",638
"Jewish production plants","ehri_terms",890
"חיילים ספרדים","ehri_terms",1097
"Emigration from Holland","ehri_terms",203
"יחס האוכלוסייה","ehri_terms",813
"גטאות וגטואיזציה","ehri_terms",552
"Deportation from Yugoslavia","ehri_terms",518
"בריחה ממחנה שבויים","ehri_terms",204
"Spiritual resistance","ehri_terms",250
"Polish soldiers","ehri_terms",1097
"בתי קברות","ehri_terms",747
"Confiscation of Judaica","ehri_terms",586
"Hiding evidence of the extermination","ehri_terms",262
"Emigration from Poland","ehri_terms",203
"התעללות נפשית","ehri_terms",622
"חיילים בריטים","ehri_terms",1097
"ראש עיר","ehri_terms",1006
"Persecution of the Jews of Belgium","ehri_terms",642
"פוליטיקה","ehri_terms",947
"Memorials","ehri_terms",713
"Quakers","ehri_terms",772
"Holocaust denial","ehri_terms",1223
"POWs","ehri_terms",511
"גירוש ממחנה דראנסי","ehri_terms",518
"Transfer of funds","ehri_terms",219
"Attitude towards the Jews - Wehrmacht and Wehrmacht soldiers","ehri_terms",815
"Curfew","ehri_terms",666
"יחס האוכלוסייה - שוויצרים","ehri_terms",813
"רדיפות יהודי נורבגיה","ehri_terms",642
"Persecution of Jews in Germany","ehri_terms",642
"נסיונות הצלה","ehri_terms",259
"בריחה והצטרפות לפרטיזנים","ehri_terms",204
"חשבונות בנק","ehri_terms",931
"הגירה מצ'כוסלובקיה","ehri_terms",203
"Anti-Jewish legislation","ehri_terms",335
"גטו","ehri_terms",545
"Judenrein","ehri_terms",626
"Orphans","ehri_terms",327
"Family relations","ehri_terms",822
"Trials - Germany","ehri_terms",1130
"סטריליזציה","ehri_terms",668
"חיילים יהודים בגרמניה","ehri_terms",884
"Pope","ehri_terms",732
"גירושים","ehri_terms",518
"Children","ehri_terms",824
"תעסוקה","ehri_terms",943
"פרטיזנים יוגוסלבים","ehri_terms",1215
"מפקחות","ehri_terms",478
"Anti-Jewish legislation - Slovakia","ehri_terms",335
"יחס ליהודים - אוכלוסייה אוקראינית","ehri_terms",815
